original,cleaned
Sure but since my parents will be working on Tuesday I don't really need a cover story,sure since my parents will be working tuesday i don t really need cover story
Haha okay... Today weekend leh...,haha okay today weekend leh
"""Hi darlin did youPhone me? Im atHome if youwanna chat.""",hi darlin did youphone me im athome youwanna chat
I don't know jack shit about anything or i'd say/ask something helpful but if you want you can pretend that I did and just text me whatever in response to the hypotheticalhuagauahahuagahyuhagga,i don t know jack shit about anything i d say ask something helpful you want you can pretend that i did just text me whatever response hypotheticalhuagauahahuagahyuhagga
You've always been the brainy one.,you ve always been brainy one
Yeah if we do have to get a random dude we need to change our info sheets to PARTY  &lt;#&gt; /7 NEVER STUDY just to be safe,yeah we do have get random dude we need change our info sheets party lt gt NUM never study just be safe
Camera - You are awarded a SiPix Digital Camera! call 09061221066 fromm landline. Delivery within 28 days.,camera you awarded sipix digital camera call PHONE fromm landline delivery within NUM days
"Christmas is An occasion that is Celebrated as a Reflection of UR... Values..., Desires..., Affections...&amp; Traditions.... Have an ideal Christmas...",christmas occasion that celebrated as reflection ur values desires affections amp traditions have ideal christmas
Sending you greetings of joy and happiness. Do have a gr8 evening,sending you greetings joy happiness do have gr8 evening
"""Hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor a meal. when are u free? Katexxx""",hi darlin i cantdo anythingtomorrow as myparents aretaking me outfor meal when u free katexxx
If india win or level series means this is record:),india win level series means this record
Then what about further plan?,then what about further plan
Its good to hear from you,its good hear from you
"awesome, how do I deal with the gate? Charles told me last night but, uh, yeah",awesome how do i deal with gate charles told me last night uh yeah
What time you thinkin of goin?,what time you thinkin goin
Get a FREE mobile video player FREE movie. To collect text GO to 89105. Its free! Extra films can be ordered t's and c's apply. 18 yrs only,get free mobile video player free movie collect text go NUM its free extra films can be ordered t s c s apply NUM yrs only
Save money on wedding lingerie at www.bridal.petticoatdreams.co.uk Choose from a superb selection with national delivery. Brought to you by WeddingFriend,save money wedding lingerie at URL choose from superb selection with national delivery brought you by weddingfriend
Your board is working fine. The issue of overheating is also reslove. But still software inst is pending. I will come around 8'o clock.,your board working fine issue overheating also reslove still software inst pending i will come around NUM o clock
Yes but I don't care cause I know its there!,yes i don t care cause i know its there
"wiskey Brandy Rum Gin Beer Vodka Scotch Shampain Wine ""KUDI""yarasu dhina vaazhthukkal. ..",wiskey brandy rum gin beer vodka scotch shampain wine kudi yarasu dhina vaazhthukkal
"Mon okie lor... Haha, best is cheap n gd food la, ex oso okie... Depends on whether wana eat western or chinese food... Den which u prefer...",mon okie lor haha best cheap n gd food la ex oso okie depends whether wana eat western chinese food den which u prefer
Sitting ard nothing to do lor. U leh busy w work?,sitting ard nothing do lor u leh busy w work
Its  &lt;#&gt; k here oh. Should i send home for sale.,its lt gt k here oh should i send home sale
Sorry. || mail? ||,sorry || mail ||
Ya just telling abt tht incident..,ya just telling abt tht incident
Yes we were outside for like 2 hours. And I called my whole family to wake them up cause it started at 1 am,yes we were outside like NUM hours i called my whole family wake them up cause it started at NUM am
Ugh just got outta class,ugh just got outta class
"Nowadays people are notixiquating the laxinorficated opportunity for bambling of entropication.... Have you ever oblisingately opted ur books for the masteriastering amplikater of fidalfication? It is very champlaxigating, i think it is atrocious.. Wotz Ur Opinion???? Junna",nowadays people notixiquating laxinorficated opportunity bambling entropication have you ever oblisingately opted ur books masteriastering amplikater fidalfication it very champlaxigating i think it atrocious wotz ur opinion junna
I dont have any of your file in my bag..i was in work when you called me.i 'll tell you if i find anything in my room.,i dont have any your file my bag i was work when you called me i ll tell you i find anything my room
No need lar. Jus testing e phone card. Dunno network not gd i thk. Me waiting 4 my sis 2 finish bathing so i can bathe. Dun disturb u liao u cleaning ur room.,no need lar jus testing e phone card dunno network not gd i thk me waiting NUM my sis NUM finish bathing so i can bathe dun disturb u liao u cleaning ur room
Ok. I.ll do you right later.,ok i ll do you right later
Friendship poem: Dear O Dear U R Not Near But I Can Hear Dont Get Fear Live With Cheer No More Tear U R Always my Dear. Gud ni8,friendship poem dear o dear u r not near i can hear dont get fear live with cheer no more tear u r always my dear gud ni8
Have your lunch and come quickly and open the door:),have your lunch come quickly open door
Not heard from U4 a while. Call me now am here all night with just my knickers on. Make me beg for it like U did last time 01223585236 XX Luv Nikiyu4.net,not heard from u4 while call me now am here all night with just my knickers make me beg it like u did last time PHONE xx luv nikiyu4 net
I am back. Bit long cos of accident on a30. Had to divert via wadebridge.I had a brilliant weekend thanks. Speak soon. Lots of love,i am back bit long cos accident a30 had divert via wadebridge i had brilliant weekend thanks speak soon lots love
"K.. I yan jiu liao... Sat we can go 4 bugis vill one frm 10 to 3 den hop to parco 4 nb. Sun can go cine frm 1030 to 2, den hop to orc mrt 4 hip hop at 4...",k i yan jiu liao sat we can go NUM bugis vill one frm NUM NUM den hop parco NUM nb sun can go cine frm NUM NUM den hop orc mrt NUM hip hop at NUM
Bloomberg -Message center +447797706009 Why wait? Apply for your future http://careers. bloomberg.com,bloomberg message center PHONE why wait apply your future URL bloomberg com
i am seeking a lady in the street and a freak in the sheets. Is that you?,i am seeking lady street freak sheets that you
My phone,my phone
"Haha figures, well I found the piece and priscilla's bowl",haha figures well i found piece priscilla s bowl
"Actually fuck that, just do whatever, do find an excuse to be in tampa at some point before january though",actually fuck that just do whatever do find excuse be tampa at some point before january though
URGENT! We are trying to contact U. Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050001808 from land line. Claim M95. Valid12hrs only,urgent we trying contact u todays draw shows that you have won £ NUM prize guaranteed call PHONE from land line claim m95 valid12hrs only
yay! finally lol. i missed our cinema trip last week :-(,yay finally lol i missed our cinema trip last week
All day working day:)except saturday and sunday..,all day working day except saturday sunday
aathi..where are you dear..,aathi where you dear
Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,heart empty without love mind empty without wisdom eyes r empty without dreams amp life empty without frnds so alwys be touch good night amp sweet dreams
"I think I‘m waiting for the same bus! Inform me when you get there, if you ever get there.",i think i‘m waiting same bus inform me when you get there you ever get there
You getting back any time soon?,you getting back any time soon
", how's things? Just a quick question.",how s things just quick question
"Night has ended for another day, morning has come in a special way. May you smile like the sunny rays and leaves your worries at the blue blue bay. Gud mrng",night has ended another day morning has come special way may you smile like sunny rays leaves your worries at blue blue bay gud mrng
"I can probably come by, everybody's done around  &lt;#&gt;  right?",i can probably come by everybody s done around lt gt right
I got it before the new year cos yetunde said she wanted to surprise you with it but when i didnt see money i returned it mid january before the  &lt;#&gt; day return period ended.,i got it before new year cos yetunde said she wanted surprise you with it when i didnt see money i returned it mid january before lt gt day return period ended
I can ask around but there's not a lot in terms of mids up here,i can ask around there s not lot terms mids up here
Be sure to check your yahoo email. We sent photos yesterday,be sure check your yahoo email we sent photos yesterday
What was she looking for?,what was she looking
Wherre's my boytoy ? :-(,wherre s my boytoy
Do you want a NEW video phone750 anytime any network mins 150 text for only five pounds per week call 08000776320 now or reply for delivery tomorrow,do you want new video phone750 anytime any network mins NUM text only five pounds per week call PHONE now reply delivery tomorrow
"Hello, my love! How goes that day ? I wish your well and fine babe and hope that you find some job prospects. I miss you, boytoy ... *a teasing kiss*",hello my love how goes that day i wish your well fine babe hope that you find some job prospects i miss you boytoy teasing kiss
Tell my  bad character which u Dnt lik in me. I'll try to change in  &lt;#&gt; . I ll add tat 2 my new year resolution. Waiting for ur reply.Be frank...good morning.,tell my bad character which u dnt lik me i ll try change lt gt i ll add tat NUM my new year resolution waiting ur reply be frank good morning
No:-)i got rumour that you going to buy apartment in chennai:-),no i got rumour that you going buy apartment chennai
"Yeah, probably earlier than that",yeah probably earlier than that
Change windows logoff sound..,change windows logoff sound
Still i have not checked it da. . .,still i have not checked it da
I'm also came to room.,i m also came room
Huh but i got lesson at 4 lei n i was thinkin of going to sch earlier n i tot of parkin at kent vale...,huh i got lesson at NUM lei n i was thinkin going sch earlier n i tot parkin at kent vale
Ok.,ok
I will reach office around  &lt;DECIMAL&gt; . &amp; my mobile have problem. You cann't get my voice. So call you asa i'll free,i will reach office around lt decimal gt amp my mobile have problem you cann t get my voice so call you asa i ll free
"Cool, text me when you head out",cool text me when you head out
"You are being contacted by our dating service by someone you know! To find out who it is, call from a land line 09050000878. PoBox45W2TG150P",you being contacted by our dating service by someone you know find out who it call from land line PHONE pobox45w2tg150p
"Wan2 win a Meet+Greet with Westlife 4 U or a m8? They are currently on what tour? 1)Unbreakable, 2)Untamed, 3)Unkempt. Text 1,2 or 3 to 83049. Cost 50p +std text",wan2 win meet greet with westlife NUM u m8 they currently what tour NUM unbreakable NUM untamed NUM unkempt text NUM NUM NUM NUM cost 50p std text
Happy birthday... May u find ur prince charming soon n dun work too hard...,happy birthday may u find ur prince charming soon n dun work too hard
"Oh, the grand is having a bit of a party but it doesn't mention any cover charge so it's probably first come first served",oh grand having bit party it doesn t mention any cover charge so it s probably first come first served
You said to me before i went back to bed that you can't sleep for anything.,you said me before i went back bed that you can t sleep anything
I hope you arnt pissed off but id would really like to see you tomorrow. Love me xxxxxxxxxxxxxX,i hope you arnt pissed off id would really like see you tomorrow love me xxxxxxxxxxxxxx
Dorothy@kiefer.com (Bank of Granite issues Strong-Buy) EXPLOSIVE PICK FOR OUR MEMBERS *****UP OVER 300% *********** Nasdaq Symbol CDGT That is a $5.00 per..,EMAIL bank granite issues strong buy explosive pick our members up over NUM nasdaq symbol cdgt that NUM NUM per
says the  &lt;#&gt;  year old with a man and money. I'm down to my last  &lt;#&gt; . Still waiting for that check.,says lt gt year old with man money i m down my last lt gt still waiting that check
I will come to ur home now,i will come ur home now
Free any day but i finish at 6 on mon n thurs...,free any day i finish at NUM mon n thurs
Will you be here for food,will you be here food
"life alle mone,eppolum oru pole allalo",life alle mone eppolum oru pole allalo
Nite...,nite
"Two fundamentals of cool life: ""Walk, like you are the KING""...! OR ""Walk like you Dont care,whoever is the KING""!... Gud nyt",two fundamentals cool life walk like you king walk like you dont care whoever king gud nyt
"Camera quite good, 10.1mega pixels, 3optical and 5digital dooms. Have a lovely holiday, be safe and i hope you hav a good journey! Happy new year to you both! See you in a couple of weeks!",camera quite good NUM 1mega pixels 3optical 5digital dooms have lovely holiday be safe i hope you hav good journey happy new year you both see you couple weeks
Hi Petey!noi'm ok just wanted 2 chat coz avent spoken 2 u 4 a long time-hope ur doin alrite.have good nit at js love ya am.x,hi petey noi m ok just wanted NUM chat coz avent spoken NUM u NUM long time hope ur doin alrite have good nit at js love ya am x
I just saw ron burgundy captaining a party boat so yeah,i just saw ron burgundy captaining party boat so yeah
I'm serious. You are in the money base,i m serious you money base
Already one guy loving you:-.,already one guy loving you
Staff of placement training in Amrita college.,staff placement training amrita college
I always chat with you. In fact i need money can you raise me?,i always chat with you fact i need money can you raise me
I'm job profile seems like bpo..,i m job profile seems like bpo
"Well, I was about to give up cos they all said no they didn‘t do one nighters. I persevered and found one but it is very cheap so i apologise in advance. It is just somewhere to sleep isnt it?",well i was about give up cos they all said no they didn‘t do one nighters i persevered found one it very cheap so i apologise advance it just somewhere sleep isnt it
"So you think i should actually talk to him? Not call his boss in the morning? I went to this place last year and he told me where i could go and get my car fixed cheaper. He kept telling me today how much he hoped i would come back in, how he always regretted not getting my number, etc.",so you think i should actually talk him not call his boss morning i went this place last year he told me where i could go get my car fixed cheaper he kept telling me today how much he hoped i would come back how he always regretted not getting my number etc
Are you willing to go for apps class.,you willing go apps class
Hanging out with my brother and his family,hanging out with my brother his family
No it will reach by 9 only. She telling she will be there. I dont know,no it will reach by NUM only she telling she will be there i dont know
Hey... are you going to quit soon? Xuhui and i working till end of the month,hey you going quit soon xuhui i working till end month
"Im sorry bout last nite it wasn't ur fault it was me, spouse it was pmt or sumthin! U 4give me? I think u shldxxxx",im sorry bout last nite it wasn t ur fault it was me spouse it was pmt sumthin u 4give me i think u shldxxxx
Try neva mate!!,try neva mate
Yeah that'd pretty much be the best case scenario,yeah that d pretty much be best case scenario
I not free today i haf 2 pick my parents up tonite...,i not free today i haf NUM pick my parents up tonite
"""HEY BABE! FAR 2 SPUN-OUT 2 SPK AT DA MO... DEAD 2 DA WRLD. BEEN SLEEPING ON DA SOFA ALL DAY, HAD A COOL NYTHO, TX 4 FONIN HON, CALL 2MWEN IM BK FRMCLOUD 9! J X""",hey babe far NUM spun out NUM spk at da mo dead NUM da wrld been sleeping da sofa all day had cool nytho tx NUM fonin hon call 2mwen im bk frmcloud NUM j x
Should i send you naughty pix? :),should i send you naughty pix
"You are a £1000 winner or Guaranteed Caller Prize, this is our Final attempt to contact you! To Claim Call 09071517866 Now! 150ppmPOBox10183BhamB64XE",you £ NUM winner guaranteed caller prize this our final attempt contact you claim call PHONE now 150ppmpobox10183bhamb64xe
"Xmas & New Years Eve tickets are now on sale from the club, during the day from 10am till 8pm, and on Thurs, Fri & Sat night this week. They're selling fast!",xmas new years eve tickets now sale from club during day from 10am till 8pm thurs fri sat night this week they re selling fast
"Tyler (getting an 8th) has to leave not long after 9, can you get here in like an hour?",tyler getting 8th has leave not long after NUM can you get here like hour
Prepare to be pounded every night...,prepare be pounded every night
"Actually, my mobile is full of msg. And i m doing a work online, where i need to send them  &lt;#&gt;  sent msg i wil explain u later.",actually my mobile full msg i m doing work online where i need send them lt gt sent msg i wil explain u later
"Sorry, I'll call later",sorry i ll call later
Good evening! How are you?,good evening how you
I'm at home. Please call,i m at home please call
Oic cos me n my sis got no lunch today my dad went out... So dunno whether 2 eat in sch or wat...,oic cos me n my sis got no lunch today my dad went out so dunno whether NUM eat sch wat
"Mmmmm ... It was sooooo good to wake to your words this morning, my Love!! Mmmm fuck ... I love you too, my Lion ... *devouring kiss from across the sea*",mmmmm it was sooooo good wake your words this morning my love mmmm fuck i love you too my lion devouring kiss from across sea
We are pleased to inform that your application for Airtel Broadband is processed successfully. Your installation will happen within 3 days.,we pleased inform that your application airtel broadband processed successfully your installation will happen within NUM days
What happen dear. Why you silent. I am tensed,what happen dear why you silent i am tensed
"I'll get there at 3, unless you guys want me to come some time sooner",i ll get there at NUM unless you guys want me come some time sooner
If you are not coughing then its nothing,you not coughing then its nothing
Ü come lt 25 n pass to me lar,ü come lt NUM n pass me lar
I'm e person who's doing e sms survey...,i m e person who s doing e sms survey
Lol ok ill try to send. Be warned Sprint is dead slow. You'll prolly get it tomorrow,lol ok ill try send be warned sprint dead slow you ll prolly get it tomorrow
Thank You meet you monday,thank you meet you monday
SO IS TH GOWER MATE WHICH IS WHERE I AM!?! HOW R U MAN? ALL IS GOOD IN WALES ILL B BACK 'MORROW. C U THIS WK? WHO WAS THE MSG 4?  RANDOM!,so th gower mate which where i am how r u man all good wales ill b back morrow c u this wk who was msg NUM  random
"Rock yr chik. Get 100's of filthy films &XXX pics on yr phone now. rply FILTH to 69669. Saristar Ltd, E14 9YT 08701752560. 450p per 5 days. Stop2 cancel",rock yr chik get NUM s filthy films xxx pics yr phone now rply filth NUM saristar ltd e14 9yt PHONE 450p per NUM days stop2 cancel
"Single line with a big meaning::::: ""Miss anything 4 ur ""Best Life"" but, don't miss ur best life for anything... Gud nyt...",single line with big meaning miss anything NUM ur best life don t miss ur best life anything gud nyt
"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",i got like lt gt i can get some more later though get whatever you feel like
"Dad wanted to talk about the apartment so I got a late start, omw now",dad wanted talk about apartment so i got late start omw now
I love you both too :-),i love you both too
Lol u still feeling sick?,lol u still feeling sick
Din i tell u jus now 420,din i tell u jus now NUM
am up to my eyes in philosophy,am up my eyes philosophy
From next month get upto 50% More Calls 4 Ur standard network charge 2 activate Call 9061100010 C Wire3.net 1st4Terms PoBox84 M26 3UZ Cost £1.50 min MobcudB more,from next month get upto NUM more calls NUM ur standard network charge NUM activate call PHONE c wire3 net 1st4terms pobox84 m26 3uz cost £ NUM NUM min mobcudb more
Ok lor. I'm in town now lei.,ok lor i m town now lei
I had it already..sabarish asked me to go..,i had it already sabarish asked me go
No da. . Vijay going to talk in jaya tv,no da vijay going talk jaya tv
URGENT! We are trying to contact U Todays draw shows that you have won a £800 prize GUARANTEED. Call 09050000460 from land line. Claim J89. po box245c2150pm,urgent we trying contact u todays draw shows that you have won £ NUM prize guaranteed call PHONE from land line claim j89 po box245c2150pm
Lol I know! Hey someone did a great inpersonation of flea on the forums. I love it!,lol i know hey someone did great inpersonation flea forums i love it
Text BANNEDUK to 89555 to see! cost 150p textoperator g696ga 18+ XXX,text banneduk NUM see cost 150p textoperator g696ga NUM xxx
Still chance there. If you search hard you will get it..let have a try :),still chance there you search hard you will get it let have try
"Auction round 4. The highest bid is now £54. Next maximum bid is £71. To bid, send BIDS e. g. 10 (to bid £10) to 83383. Good luck.",auction round NUM highest bid now £ NUM next maximum bid £ NUM bid send bids e g NUM bid £ NUM NUM good luck
Do you always celebrate NY's with your family ?,do you always celebrate ny s with your family
"We know TAJ MAHAL as symbol of love. But the other lesser known facts 1. Mumtaz was Shahjahan's 4th wife, out of his 7 wifes. 2. Shahjahan killed Mumtaz's husband to marry her. 3. Mumtaz died in her  &lt;#&gt; th delivery. 4. He then married Mumtaz's sister. Question arises where the Hell is the LOVE?:-| -The Great Hari-",we know taj mahal as symbol love other lesser known facts NUM mumtaz was shahjahan s 4th wife out his NUM wifes NUM shahjahan killed mumtaz s husband marry her NUM mumtaz died her lt gt th delivery NUM he then married mumtaz s sister question arises where hell love | great hari
Its ok..come to my home it vl nice to meet and v can chat..,its ok come my home it vl nice meet v can chat
Collect your VALENTINE'S weekend to PARIS inc Flight & Hotel + £200 Prize guaranteed! Text: PARIS to No: 69101. www.rtf.sphosting.com,collect your valentine s weekend paris inc flight hotel £ NUM prize guaranteed text paris no NUM URL
Sent me de webadres for geting salary slip,sent me de webadres geting salary slip
She's fine. Sends her greetings,she s fine sends her greetings
Customer Loyalty Offer:The NEW Nokia6650 Mobile from ONLY £10 at TXTAUCTION! Txt word: START to No: 81151 & get yours Now! 4T&Ctxt TC 150p/MTmsg,customer loyalty offer new nokia6650 mobile from only £ NUM at txtauction txt word start no NUM get yours now 4t ctxt tc 150p mtmsg
But you dint in touch with me.,you dint touch with me
"Yup, leaving right now, be back soon",yup leaving right now be back soon
You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,you won t believe it it s true it s incredible txts reply g now learn truly amazing things that will blow your mind from o2fwd only 18p txt
Yeah sure I'll leave in a min,yeah sure i ll leave min
And do you have any one that can teach me how to ship cars.,do you have any one that can teach me how ship cars
"The sign of maturity is not when we start saying big things.. But actually it is, when we start understanding small things... *HAVE A NICE EVENING* BSLVYL",sign maturity not when we start saying big things actually it when we start understanding small things have nice evening bslvyl
Yeah confirmed for you staying at  that weekend,yeah confirmed you staying at that weekend
They said ü dun haf passport or smth like dat.. Or ü juz send to my email account..,they said ü dun haf passport smth like dat ü juz send my email account
"Multiply the numbers independently and count decimal points then, for the division, push the decimal places like i showed you.",multiply numbers independently count decimal points then division push decimal places like i showed you
"Have a lovely night and when you wake up to see this message, i hope you smile knowing all is as should be. Have a great morning",have lovely night when you wake up see this message i hope you smile knowing all as should be have great morning
Ard 4 lor...,ard NUM lor
You are right. Meanwhile how's project twins comin up,you right meanwhile how s project twins comin up
I sent your maga that money yesterday oh.,i sent your maga that money yesterday oh
Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,hi PHONE ibh customer loyalty offer new nokia6600 mobile from only £ NUM at txtauction txt word start no NUM get yours now 4t
Heart is empty without love.. Mind is empty without wisdom.. Eyes r empty without dreams &amp; Life is empty without frnds.. So Alwys Be In Touch. Good night &amp; sweet dreams,heart empty without love mind empty without wisdom eyes r empty without dreams amp life empty without frnds so alwys be touch good night amp sweet dreams
I am hot n horny and willing I live local to you - text a reply to hear strt back from me 150p per msg Netcollex LtdHelpDesk: 02085076972 reply Stop to end,i am hot n horny willing i live local you text reply hear strt back from me 150p per msg netcollex ltdhelpdesk PHONE reply stop end
Our ride equally uneventful - not too many of those pesky cyclists around at that time of night ;).,our ride equally uneventful not too many those pesky cyclists around at that time night
If you were/are free i can give. Otherwise nalla adi entey nattil kittum,you were free i can give otherwise nalla adi entey nattil kittum
I've sent my wife your text. After we buy them she'll tell you what to do. So just relax. We should go get them this wkend.,i ve sent my wife your text after we buy them she ll tell you what do so just relax we should go get them this wkend
I am in escape theatre now. . Going to watch KAVALAN in a few minutes,i am escape theatre now going watch kavalan few minutes
How much would it cost to hire a hitman,how much would it cost hire hitman
I anything lor...,i anything lor
"Sorry, I'll call later",sorry i ll call later
Do you want a New Nokia 3510i Colour Phone Delivered Tomorrow? With 200 FREE minutes to any mobile + 100 FREE text + FREE camcorder Reply or Call 08000930705,do you want new nokia 3510i colour phone delivered tomorrow with NUM free minutes any mobile NUM free text free camcorder reply call PHONE
Huh but i cant go 2 ur house empty handed right?,huh i cant go NUM ur house empty handed right
Good morning princess! Happy New Year!,good morning princess happy new year
Congratulations YOU'VE Won. You're a Winner in our August £1000 Prize Draw. Call 09066660100 NOW. Prize Code 2309.,congratulations you ve won you re winner our august £ NUM prize draw call PHONE now prize code NUM
"Aight, we'll head out in a few",aight we ll head out few
Then wat r u doing now? Busy wif work?,then wat r u doing now busy wif work
I know you mood off today,i know you mood off today
"Jay told me already, will do",jay told me already will do
Cps is causing the outages to conserve energy.,cps causing outages conserve energy
"I'm not sure, I was just checking out what was happening around the area",i m not sure i was just checking out what was happening around area
Hey morning what you come to ask:-) pa...,hey morning what you come ask pa
Jordan got voted out last nite!,jordan got voted out last nite
"That means you got an A in epi, she.s fine. She.s here now.",that means you got epi she s fine she s here now
I have no idea where you are,i have no idea where you
Pls come quick cant bare this.,pls come quick cant bare this
Joy's father is John. Then John is the ____ of Joy's father. If u ans ths you hav  &lt;#&gt;  IQ. Tis s IAS question try to answer.,joy s father john then john ____ joy s father u ans ths you hav lt gt iq tis s ias question try answer
"Call me. I m unable to cal. Lets meet bhaskar, and deep",call me i m unable cal lets meet bhaskar deep
No. I.ll meet you in the library,no i ll meet you library
"K, my roommate also wants a dubsack and another friend may also want some so plan on bringing extra, I'll tell you when they know for sure",k my roommate also wants dubsack another friend may also want some so plan bringing extra i ll tell you when they know sure
Depends on individual lor e hair dresser say pretty but my parents say look gong. U kaypoh.. I also dunno wat she collecting.,depends individual lor e hair dresser say pretty my parents say look gong u kaypoh i also dunno wat she collecting
Ok c ü then.,ok c ü then
I enjoy watching and playing football and basketball. Anything outdoors. And you?,i enjoy watching playing football basketball anything outdoors you
"Can you please ask macho what his price range is, does he want something new or used plus it he only interfued in the blackberry bold  &lt;#&gt;  or any bb",can you please ask macho what his price range does he want something new used plus it he only interfued blackberry bold lt gt any bb
Sorry sent blank msg again. Yup but trying 2 do some serious studying now.,sorry sent blank msg again yup trying NUM do some serious studying now
Hey check it da. I have listed da.,hey check it da i have listed da
8007 25p 4 Alfie Moon's Children in Need song on ur mob. Tell ur m8s. Txt TONE CHARITY to 8007 for nokias or POLY CHARITY for polys :zed 08701417012 profit 2 charity,NUM 25p NUM alfie moon s children need song ur mob tell ur m8s txt tone charity NUM nokias poly charity polys zed PHONE profit NUM charity
I meant as an apology from me for texting you to get me drugs at  &lt;#&gt; at night,i meant as apology from me texting you get me drugs at lt gt at night
That means from february to april i'll be getting a place to stay down there so i don't have to hustle back and forth during audition season as i have since my sister moved away from harlem.,that means from february april i ll be getting place stay down there so i don t have hustle back forth during audition season as i have since my sister moved away from harlem
Goin to workout lor... Muz lose e fats...,goin workout lor muz lose e fats
"Damn, poor zac doesn't stand a chance",damn poor zac doesn t stand chance
No message..no responce..what happend?,no message no responce what happend
I want to tel u one thing u should not mistake me k THIS IS THE MESSAGE THAT YOU SENT:),i want tel u one thing u should not mistake me k this message that you sent
Yeah right! I'll bring my tape measure fri!,yeah right i ll bring my tape measure fri
Still chance there. If you search hard you will get it..let have a try :),still chance there you search hard you will get it let have try
Meeting u is my work. . . Tel me when shall i do my work tomorrow,meeting u my work tel me when shall i do my work tomorrow
Should I head straight there or what,should i head straight there what
Get the official ENGLAND poly ringtone or colour flag on yer mobile for tonights game! Text TONE or FLAG to 84199. Optout txt ENG STOP Box39822 W111WX £1.50,get official england poly ringtone colour flag yer mobile tonights game text tone flag NUM optout txt eng stop box39822 w111wx £ NUM NUM
Thank you princess! You are so sexy...,thank you princess you so sexy
Oooh I got plenty of those!,oooh i got plenty those
Hui xin is in da lib.,hui xin da lib
Its a big difference.  &lt;#&gt;  versus  &lt;#&gt;  every  &lt;#&gt; hrs,its big difference lt gt versus lt gt every lt gt hrs
"It's not that you make me cry. It's just that when all our stuff happens on top of everything else, it pushes me over the edge. You don't underdtand how often i cry over my sorry, sorry life.",it s not that you make me cry it s just that when all our stuff happens top everything else it pushes me over edge you don t underdtand how often i cry over my sorry sorry life
"""ME 2 BABE I FEEL THE SAME LETS JUST 4GET ABOUT IT+BOTH TRY +CHEER UP+NOT FIT SOO MUCHXXLOVE U LOCAXX""",me NUM babe i feel same lets just 4get about it both try cheer up not fit soo muchxxlove u locaxx
You know what hook up means right?,you know what hook up means right
"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",customer service announcement we recently tried make delivery you were unable do so please call PHONE re schedule ref NUM
Wat's da model num of ur phone?,wat s da model num ur phone
He's really into skateboarding now despite the fact that he gets thrown off of it and winds up with bandages and shit all over his arms every five minutes,he s really into skateboarding now despite fact that he gets thrown off it winds up with bandages shit all over his arms every five minutes
"You can stop further club tones by replying ""STOP MIX"" See my-tone.com/enjoy. html for terms. Club tones cost GBP4.50/week. MFL, PO Box 1146 MK45 2WT (2/3)",you can stop further club tones by replying stop mix see my tone com enjoy html terms club tones cost gbp4 NUM week mfl po box NUM mk45 2wt NUM NUM
My house here e sky quite dark liao... If raining then got excuse not 2 run already rite... Hee...,my house here e sky quite dark liao raining then got excuse not NUM run already rite hee
"Sorry, left phone upstairs. OK, might be hectic but would be all my birds with one fell swoop. It's a date.",sorry left phone upstairs ok might be hectic would be all my birds with one fell swoop it s date
* Thought I didn't see you.,thought i didn t see you
wamma get laid?want real doggin locations sent direct to your mobile? join the UKs largest dogging network. txt dogs to 69696 now!nyt. ec2a. 3lp £1.50/msg.,wamma get laid want real doggin locations sent direct your mobile join uks largest dogging network txt dogs NUM now nyt ec2a 3lp £ NUM NUM msg
Carlos says we can pick up from him later so yeah we're set,carlos says we can pick up from him later so yeah we re set
"Hey babe, my friend had to cancel, still up for a visit ?",hey babe my friend had cancel still up visit
As per your request 'Maangalyam (Alaipayuthe)' has been set as your callertune for all Callers. Press *9 to copy your friends Callertune,as per your request maangalyam alaipayuthe has been set as your callertune all callers press NUM copy your friends callertune
Hmm ill have to think about it... ok you're forgiven! =D,hmm ill have think about it ok you re forgiven d
"We are hoping to get away by 7, from Langport. You still up for town tonight?",we hoping get away by NUM from langport you still up town tonight
Want to send me a virtual hug?... I need one,want send me virtual hug i need one
"Probably not, still going over some stuff here",probably not still going over some stuff here
It has issues right now. Ill fix for her by tomorrow.,it has issues right now ill fix her by tomorrow
Why i come in between you people,why i come between you people
Senthil group company Apnt 5pm.,senthil group company apnt 5pm
Oh really?? Did you make it on air? What's your talent?,oh really did you make it air what s your talent
Studying. But i.ll be free next weekend.,studying i ll be free next weekend
R u here yet? I'm wearing blue shirt n black pants.,r u here yet i m wearing blue shirt n black pants
Wait.i will come out.. &lt;#&gt;  min:),wait i will come out lt gt min
I will reach ur home in  &lt;#&gt;  minutes,i will reach ur home lt gt minutes
Well then you have a great weekend!,well then you have great weekend
